t_s,sensor,ax,ay,az,gx,gy,gz
1760826776.8820832,ankle_L,11.805808386230469,0.0005985504150390625,1.0139444030761717,0.09965696797647011,0.13829402775344382,-0.08580091895300368
1760826776.8921742,ankle_L,11.805808386230469,0.10175357055664062,0.8379705810546875,0.09033078113375233,0.1384272589940541,-0.07953905064432175
1760826776.899639,ankle_L,11.805808386230469,0.15263035583496093,0.8176198669433593,0.0848683002687319,0.13856049023466432,-0.07327718233563979
1760826776.899755,ankle_L,11.805808386230469,0.051475335693359374,0.9828197814941406,0.09446094959267021,0.1389601839564951,-0.10112251162318292
1760826776.8997993,ankle_L,11.805808386230469,0.04129997863769531,0.9858125335693358,0.09406125587083944,0.13935987767832586,-0.09472741207389071
1760826776.899834,ankle_L,11.805808386230469,0.12629413757324218,0.805050308227539,0.08220367545652682,0.1397595714001566,-0.08859877500581902
1760826776.899883,ankle_L,11.805808386230469,0.07302315063476562,0.7793126403808593,0.07234456365136802,0.14029249636259766,-0.08260336917835759
1760826776.8999047,ankle_L,11.805808386230469,0.025737667846679687,0.9157821350097656,0.06475038293658353,0.10685145496942385,-0.07687442583211665
1760826776.8999255,ankle_L,11.805808386230469,0.13407529296874998,0.7422025146484375,0.05688973974057853,0.10738437993186485,-0.07127871372648598
1760826776.899945,ankle_L,11.805808386230469,0.09337386474609374,0.7260416534423828,0.049961715228845315,0.10818376737552639,-0.10018989293891113
1760826776.8999672,ankle_L,11.805808386230469,0.05027823486328125,0.7062894897460937,0.04223430327345057,0.10898315481918791,-0.09526033703633173
1760826776.8999867,ankle_L,11.805808386230469,0.05626373901367187,0.7104793426513671,0.04369984692016337,0.10978254226284943,-0.09059724361497283
1760826776.9000063,ankle_L,11.805808386230469,0.015562310791015624,0.6925228302001952,0.036372128686599385,0.11058192970651096,-0.0860673814342242
1760826776.9000256,ankle_L,11.805808386230469,0.13587094421386717,0.5243301635742187,0.06475038293658353,0.07727411955394742,-0.08193721297530632
1760826776.9000459,ankle_L,11.805808386230469,0.10474632263183593,0.5117606048583984,0.05955436455278361,0.07820673823821919,-0.07794027575699868
1760826776.9000766,ankle_L,11.805808386230469,0.08379705810546874,0.5021837982177734,0.05595712105630675,0.07913935692249098,-0.07420980101991156
1760826776.9000995,ankle_L,11.805808386230469,0.05566518859863281,0.489015689086914,0.05076110267250683,0.07993874436615249,-0.07061255752343472
1760826776.9051192,ankle_L,11.959037292480469,0.03890577697753906,0.48243163452148435,0.04809647786030175,0.08073813180981403,-0.10138897410440342
1760826776.9056475,ankle_L,11.959037292480469,0.017357962036132813,0.47285482788085936,0.044232771882604376,0.08153751925347555,-0.09832465557036758
1760826776.9059432,ankle_L,11.959037292480469,0.15263035583496093,0.31184476623535157,0.041168453348568536,0.08233690669713707,-0.09539356827694198
1760826776.906252,ankle_L,11.959037292480469,0.14185644836425781,0.4590881683349609,0.00479632466196915,0.08300306290018834,-0.0927289434647369
1760826776.9070206,ankle_L,11.959037292480469,0.13826514587402344,0.3076549133300781,0.03890352225819422,0.08353598786262936,-0.09019754989314206
1760826776.9073205,ankle_L,11.959037292480469,0.12090718383789062,0.4525041137695312,0.00159877488732305,0.08420214406568063,-0.08793261880276775
1760826776.9077191,ankle_L,11.959037292480469,0.11372457885742186,0.45489831542968745,0.0010658499248820332,0.0846018377875114,-0.08580091895300368
1760826776.9100301,ankle_L,11.959037292480469,0.10654197387695312,0.4525041137695312,0.03397396635561481,0.05102756515372735,-0.08406891282507037
1760826776.9103124,ankle_L,11.959037292480469,0.09157821350097656,0.4471171600341797,0.03170903526524049,0.0514272588755581,-0.08247013793774732
1760826776.9108424,ankle_L,11.959037292480469,0.08140285644531249,0.44113165588378905,0.029577335415476424,0.05169372135677862,-0.08127105677225505
1760826776.9113626,ankle_L,11.959037292480469,0.06404489440917968,0.44532150878906246,0.028111791768763626,0.05342572748471192,-0.08073813180981403
1760826776.9118345,ankle_L,11.959037292480469,0.05566518859863281,0.4387374542236328,0.02571362943777905,0.05382542120654268,-0.08180398173469605
1760826776.9125001,ankle_L,11.959037292480469,0.04967968444824218,0.43514615173339843,0.02424808579106626,0.054091883687763194,-0.08326952538140886
1760826776.91262,ankle_L,11.959037292480469,0.047285482788085934,0.43155484924316406,0.02371516082862524,0.05462480865020421,-0.08473506902812164
1760826776.912951,ankle_L,11.959037292480469,0.04249707946777344,0.42975919799804685,0.022915773384963714,0.05515773361264523,-0.0863338439154447
1760826776.9139578,ankle_L,11.959037292480469,0.040102877807617184,0.4261678955078125,0.022249617181912446,0.05595712105630675,-0.08793261880276775
1760826776.9143856,ankle_L,11.959037292480469,0.033518823242187495,0.4225765930175781,0.020917304775809907,0.05688973974057853,-0.08979785617131131
1760826776.9146698,ankle_L,11.959037292480469,0.027533319091796873,0.41898529052734373,0.02011791733214838,0.05808882090607082,-0.09206278726168562
1760826776.915956,ankle_L,11.959037292480469,0.025139117431640625,0.4177881896972656,0.01945176112909711,0.05942113331217336,-0.09459418083328046
1760826776.9161608,ankle_L,11.959037292480469,0.023942016601562498,0.4171896392822265,0.019318529888486854,0.0610199081994964,-0.09739203688609578
1760826776.9164405,ankle_L,11.959037292480469,0.014963760375976562,0.4147954376220703,0.017986217482384312,0.06261868308681946,-0.10045635542013163
1760826776.94942,ankle_L,11.959037292480469,0.0143652099609375,0.41359833679199215,0.017586523760553547,0.06381776425231174,-0.06874732015489114
1760826776.9498427,ankle_L,11.959037292480469,0.017357962036132813,0.4147954376220703,0.018652373685435583,0.06421745797414251,-0.07034609504221419
1760826776.9505334,ankle_L,11.959037292480469,0.022146365356445312,0.4177881896972656,0.01971822361031762,0.06381776425231174,-0.07101225124526546
1760826776.9512548,ankle_L,11.959037292480469,0.018555062866210937,0.4147954376220703,0.018918836166656093,0.06261868308681946,-0.07034609504221419
1760826776.9517145,ankle_L,11.959037292480469,0.022146365356445312,0.41419688720703124,0.0191852986478766,0.06062021447766565,-0.1023215927886752
1760826776.952064,ankle_L,11.959037292480469,0.029927520751953124,0.42018239135742186,0.020917304775809907,0.057955589665460557,-0.09859111805158809
1760826776.9530592,ankle_L,11.959037292480469,0.1322796417236328,0.9983820922851562,0.0834027566220191,0.19145329275693523,-0.09286217470534716
